Word,Meaning
passenger,"
----------noun----------
Meaning: A traveller on a public or private conveyance other than the driver, pilot, or crew.
Example: more than 50 passengers escaped injury when a train was derailed

(traveller,commuter,voyager,rider,fare payer,fare,)
"
passive,"
----------adjective----------
Meaning: Accepting or allowing what happens or what others do, without active response or resistance.
Example: the women were portrayed as passive victims

(submissive,acquiescent,unresisting,yielding,unassertive,non-resistant,compliant,complaisant,pliant,resigned,obedient,docile,tractable,malleable,pliable,meek,subdued,deferential,forbearing,long-suffering,patient,lamblike,non-violent,supine,)

"
passively,"
----------adverb----------
Meaning: In an accepting manner, without active response or resistance.
----------adverb----------
Meaning: Using the passive voice.
----------adverb----------
Meaning: From a transmitter or target rather than by generating a signal.
"
pastrami,"
"
patron,"
----------noun----------
Meaning: A person who gives financial or other support to a person, organization, cause, or activity.
Example: a celebrated patron of the arts

(sponsor,backer,financier,subsidizer,underwriter,guarantor,benefactor,benefactress,contributor,subscriber,donor,)
----------noun----------
Meaning: A customer, especially a regular one, of a store, restaurant, or theater.
Example: we surveyed the plushness of the hotel and its sleek, well-dressed patrons

(customer,client,frequenter,)
"
pattern,"
----------noun----------
Meaning: A repeated decorative design.
Example: a neat blue herringbone pattern

(design,decoration,motif,marking,ornament,ornamentation,device,figure,)
----------noun----------
Meaning: A model or design used as a guide in needlework and other crafts.
Example: make a pattern for the zigzag edge

(sample,specimen,swatch,)
----------noun----------
Meaning: An example for others to follow.

(precedent,lead,guide,model,pattern,blueprint,template,paradigm,exemplar,ideal,standard,)

----------transitive verb----------
Meaning: Decorate with a repeated design.
----------transitive verb----------
Meaning: Give a regular or intelligible form to.
Example: the brain not only receives information, but interprets and patterns it

(shape,influence,form,model,fashion,mould,style,)
"
patterns,"
----------noun----------
Meaning: A repeated decorative design.
Example: a neat blue herringbone pattern

(design,decoration,motif,marking,ornament,ornamentation,device,figure,)
----------noun----------
Meaning: A model or design used as a guide in needlework and other crafts.
Example: make a pattern for the zigzag edge

(sample,specimen,swatch,)
----------noun----------
Meaning: An example for others to follow.
Example: he set the pattern for subsequent study

(precedent,lead,guide,model,pattern,blueprint,template,paradigm,exemplar,ideal,standard,)

----------verb----------
Meaning: Decorate with a repeated design.
----------verb----------
Meaning: Give a regular or intelligible form to.
Example: the brain not only receives information, but interprets and patterns it

(shape,influence,form,model,fashion,mould,style,)
"
paucity,"
----------noun----------
Meaning: The presence of something only in small or insufficient quantities or amounts; scarcity.
Example: a paucity of information

(insufficiency,deficiency,scantness,scarcity,scarceness,sparseness,dearth,paucity,poverty,shortage,want,lack,undersupply,)
"
paw,"
----------noun----------
Meaning: An animal's foot having claws and pads.
Example: The feet of the throne are modeled after large catlike paws without claws.

(foot,pad,)

----------transitive verb----------
Meaning: (of an animal) feel or scrape with a paw or hoof.
Example: the horse rose on its strong haunches, its forelegs pawing the air

(poke,handle carelessly,handle clumsily,handle roughly,finger,thumb,pull,grab,maul,manhandle,mangle,mess up,)
"
peach,"
----------noun----------
Meaning: An exceptionally good or attractive person or thing.

(beautiful woman,belle,vision,charmer,enchantress,Venus,goddess,beauty queen,English rose,picture,seductress,)
"
peaches,"
----------noun----------
Meaning: A round stone fruit with juicy yellow flesh and downy pinkish-yellow skin.
----------noun----------
Meaning: The Chinese tree that bears peaches.
----------noun----------
Meaning: An exceptionally good or attractive person or thing.

(beautiful woman,belle,vision,charmer,enchantress,Venus,goddess,beauty queen,English rose,picture,seductress,)
"
pear,"
"
pears,"
----------noun----------
Meaning: A yellowish- or brownish-green edible fruit that is typically narrow at the stalk and wider towards the base, with sweet, slightly gritty flesh.
----------noun----------
Meaning: The Eurasian tree which bears the pear.
"
peas,"
----------noun----------
Meaning: A spherical green seed that is eaten as a vegetable or as a pulse when dried.
----------noun----------
Meaning: The hardy Eurasian climbing plant which yields pods containing peas.
----------noun----------
Meaning: Used in names of plants or seeds that are similar or related to the pea, e.g. chickpea, sweet pea.
"
peccadillo,"
----------noun----------
Meaning: A small, relatively unimportant offense or sin.
Example: the sexual peccadilloes of celebrities aren't necessarily news

(misdemeanour,minor offence,petty offence,delinquency,)
"
pedantic,"
----------adjective----------
Meaning: Of or like a pedant.
Example: many of the essays are long, dense, and too pedantic to hold great appeal

(overscrupulous,scrupulous,precise,exact,over-exacting,perfectionist,precisionist,punctilious,meticulous,fussy,fastidious,finical,finicky,)
"
pedestrian,"
----------noun----------
Meaning: A person walking along a road or in a developed area.
Example: the road is so dangerous pedestrians avoid it

(walker,person on foot,hiker,rambler,stroller,wayfarer,footslogger,)

----------adjective----------
Meaning: Lacking inspiration or excitement; dull.
Example: disenchantment with their present, pedestrian lives

(dull,plodding,boring,tedious,monotonous,uneventful,unremarkable,tiresome,wearisome,uninspired,uncreative,unimaginative,unexciting,uninteresting,lifeless,dry,)
"
pelican,"
"
pellucid,"
----------adjective----------
Meaning: Translucently clear.
Example: mountains reflected in the pellucid waters

(translucent,transparent,clear,crystal clear,crystalline,bright,glassy,limpid,unclouded,)
"
penalize,"
----------verb----------
Meaning: Subject to a penalty or punishment.
Example: high-spending councils will be penalized

(punish,discipline,inflict a penalty on,exact a penalty from,deal with,mete out punishment to,sentence,impose a sentence on,chastise,castigate,correct,chasten,)
----------verb----------
Meaning: Put at an unfair disadvantage.
Example: if the bill is not amended genuine claimants will be penalized

(handicap,inflict a handicap on,unfairly disadvantage,put at an unfair disadvantage,put in an unfavourable position,cause to suffer,put a stumbling block in the way of,put a hindrance in the way of,put a impediment in the way of,)
"
penalty,"
----------noun----------
Meaning: A punishment imposed for breaking a law, rule, or contract.
Example: the charge carries a maximum penalty of ten years' imprisonment

(punishment,sanction,punitive action,retribution,penance,)
"
penchant,"
----------noun----------
Meaning: A strong or habitual liking for something or tendency to do something.
Example: he has a penchant for adopting stray dogs

(flavour,savour,relish,tang,smack,)
"
penitent,"
----------adjective----------
Meaning: Feeling or showing sorrow and regret for having done wrong; repentant.
Example: a penitent expression

(repentant,contrite,regretful,remorseful,sorry,apologetic,conscience-stricken,rueful,ashamed,shamefaced,abject,)

"
penurious,"
----------adjective----------
Meaning: Extremely poor; poverty-stricken.
Example: a penurious old tramp

(poor,as poor as a church mouse,poverty-stricken,destitute,necessitous,in penury,impecunious,impoverished,indigent,needy,in need,in want,badly off,in reduced circumstances,in straitened circumstances,hard up,on one's beam-ends,unable to make ends meet,underprivileged,penniless,without a sou,moneyless,bankrupt,bust,insolvent,)
----------adjective----------
Meaning: Parsimonious; mean.
Example: a tight-fisted, penurious boss whose wage scale is well below other bandleaders

(miserly,niggardly,parsimonious,penny-pinching,close-fisted,cheese-paring,scrimping,grasping,greedy,avaricious,Scrooge-like,ungenerous,illiberal,close,)
"
